time,open,high,low,close,MA,Volume,Volume MA,Basis,Upper,Lower,RSI
1513551600,20650,20650,18345,19100,NaN,1054,NaN,NaN,NaN,NaN,NaN
1513638000,19135,19725,17180,18200,NaN,559,NaN,NaN,NaN,NaN,NaN
1513724400,17745,18350,16435,17040,NaN,784,NaN,NaN,NaN,NaN,NaN
1513810800,16400,17270,15080,15330,NaN,879,NaN,NaN,NaN,NaN,NaN
1513897200,15595,15825,12265,14135,NaN,2374,NaN,NaN,NaN,NaN,NaN
1514242800,13900,16100,13700,15785,NaN,406,NaN,NaN,NaN,NaN,NaN
1514329200,15655,16545,14460,14690,NaN,507,NaN,NaN,NaN,NaN,NaN
1514415600,15150,15280,13360,13745,NaN,746,NaN,NaN,NaN,NaN,NaN
1514502000,13965,15005,13835,14470,NaN,1078,NaN,NaN,NaN,NaN,NaN
1514847600,13955,15245,13080,14855,NaN,734,NaN,NaN,NaN,NaN,NaN
1514934000,14900,15450,14650,14975,NaN,719,NaN,NaN,NaN,NaN,NaN
1515020400,14925,15470,14205,14900,NaN,760,NaN,NaN,NaN,NaN,NaN
1515106800,15085,16845,14870,16590,NaN,814,NaN,NaN,NaN,NaN,NaN
1515366000,16425,16455,13870,14905,NaN,958,NaN,NaN,NaN,NaN,NaN
1515452400,14675,15365,14185,14750,NaN,863,NaN,NaN,NaN,NaN,33.876945885841366
1515538800,14405,14720,13480,14450,NaN,887,NaN,NaN,NaN,NaN,33.0845909673108
1515625200,14500,14910,12820,13385,NaN,1298,NaN,NaN,NaN,NaN,30.369030533000412
1515711600,13000,14080,12850,13945,NaN,787,NaN,NaN,NaN,NaN,33.461665971531545
1516057200,13600,14280,11160,11160,NaN,2552,NaN,NaN,NaN,NaN,27.031546586292194
1516143600,11190,11800,9225,10945,NaN,2657,1070.8,14867.75,18665.92913611246,11069.570863887539,26.606480120289774
1516230000,11125,12075,10645,11815,NaN,1708,1103.5,14503.5,17993.044526152375,11013.955473847625,31.31326448669131
1516316400,11335,12030,10990,11360,NaN,979,1124.5,14161.5,17470.965364677504,10852.034635322496,30.22166869316284
1516575600,11300,11830,9955,10355,NaN,1137,1142.15,13827.25,17254.552838968277,10399.947161031725,27.907506027427715
1516662000,10625,11350,9865,11095,NaN,1241,1160.25,13615.5,17166.336380347595,10064.663619652407,32.034324998796464
1516748400,10920,11450,10490,11155,NaN,232,1053.15,13466.5,17164.67130484784,9768.328695152157,32.37235391564003
1516834800,11450,11660,10830,11200,NaN,380,1051.85,13237.25,16900.385917489275,9574.114082510725,32.642932448509455
1516921200,11060,11620,10250,10965,NaN,573,1055.15,13051,16777.97410777161,9324.025892228388,31.924585315178803
1517180400,11510,11775,10970,11170,NaN,463,1041,12922.25,16721.63610172749,9122.863898272512,33.30344253445611
1517266800,11120,11245,9720,9940,NaN,1137,1043.95,12695.75,16636.53453483567,8754.965465164329,29.449204731127907
1517353200,10000,10275,9500,10000,NaN,842,1049.35,12453,16429.80952523502,8476.190474764979,29.875538506433415
1517439600,10020,10175,8480,9090,NaN,1485,1087.65,12158.75,16215.662465163625,8101.837534836375,27.191685195089505
1517526000,8890,9075,7750,8585,NaN,2535,1176.4,11843,15979.567901050337,7706.432098949662,25.806200388414496
1517785200,8305,8315,6870,7260,NaN,2186,1245,11376.5,15368.326774798727,7384.673225201273,22.558440587220034
1517871600,6850,7920,5970,7550,NaN,2234,1308.8,11008.75,14987.704479508404,7029.795520491595,24.789469965262157
1517958000,7620,8540,7235,8245,NaN,1379,1334.6,10683.5,14443.446941114995,6923.553058885006,29.99462953414593
1518044400,7790,8690,7645,8325,NaN,906,1335.55,10377.25,13846.72326693837,6907.776733061631,30.59010877767423
1518130800,8165,8770,7715,8610,NaN,764,1308.85,10138.5,13398.03386237971,6878.9661376202885,32.78366932726044
1518390000,8380,8920,8075,8860,NaN,679,1303.45,9884.25,12676.20500500993,7092.29499499007,34.73219922701725
1518476400,8925,9000,8335,8700,NaN,550,1203.35,9761.25,12534.240939400992,6988.259060599007,34.05184117341665
1518562800,8505,9390,8505,9290,NaN,944,1117.7,9678.5,12403.614859964622,6953.385140035378,38.811662111647884
